
          t          rx          ry          rz         omx         omy         omz         Omx         Omy         Omz         fix         fiy         fiz 
       0.000    4226.800    3085.944   -4321.376       0.000       0.000       0.000       0.000       0.000       0.000      74.734     120.755     -75.017
       0.100    4226.860    3086.524   -4320.881      -0.057      -0.029       0.057      38.197      38.197     -38.197      74.722     120.745     -75.018
       0.200    4226.919    3087.103   -4320.386      -0.115      -0.057       0.115      76.394      76.394     -76.394      74.681     120.711     -75.020
       0.300    4226.978    3087.682   -4319.891      -0.172      -0.086       0.172     114.592     114.592    -114.592      74.610     120.652     -75.023
       0.400    4227.037    3088.261   -4319.396      -0.229      -0.115       0.229     152.789     152.789    -152.789      74.510     120.569     -75.027
       0.500    4227.096    3088.841   -4318.901      -0.286      -0.143       0.286     190.986     190.986    -190.986      74.381     120.461     -75.032
       0.600    4227.155    3089.420   -4318.406      -0.344      -0.172       0.344     229.183     229.183    -229.183      74.223     120.329     -75.039
       0.700    4227.214    3089.999   -4317.911      -0.401      -0.201       0.401     267.380     267.380    -267.380      74.035     120.173     -75.046
       0.800    4227.273    3090.578   -4317.416      -0.458      -0.229       0.458     305.577     305.577    -305.577      73.817     119.992     -75.055
       0.900    4227.332    3091.157   -4316.920      -0.516      -0.258       0.516     343.775     343.775    -343.775      73.570     119.786     -75.065
       1.000    4227.391    3091.736   -4316.425      -0.573      -0.286       0.573     381.972     381.972    -381.972      73.293     119.555     -75.075
       1.100    4227.450    3092.315   -4315.929      -0.630      -0.315       0.630     420.169     420.169    -420.169      72.987     119.300     -75.087
       1.200    4227.509    3092.894   -4315.434      -0.688      -0.344       0.688     458.366     458.366    -458.366      72.650     119.019     -75.098
       1.300    4227.567    3093.473   -4314.938      -0.745      -0.372       0.745     496.563     496.563    -496.563      72.284     118.714     -75.111
       1.400    4227.626    3094.052   -4314.443      -0.801      -0.401       0.802     534.077     534.761    -534.761      71.887     118.383     -75.124
       1.500    4227.684    3094.630   -4313.947      -0.856      -0.430       0.859     570.519     572.958    -572.958      71.461     118.027     -75.137
       1.600    4227.743    3095.209   -4313.451      -0.909      -0.458       0.916     605.893     611.155    -610.731      71.004     117.645     -75.151
       1.700    4227.801    3095.788   -4312.956      -0.960      -0.487       0.972     640.203     649.352    -647.700      70.518     117.239     -75.164
       1.800    4227.860    3096.367   -4312.460      -1.010      -0.516       1.026     673.450     687.549    -683.884      70.003     116.807     -75.178
       1.900    4227.918    3096.945   -4311.964      -1.058      -0.544       1.079     705.640     725.747    -719.299      69.459     116.351     -75.191
       2.000    4227.976    3097.524   -4311.468      -1.105      -0.573       1.131     736.775     763.944    -753.962      68.887     115.871     -75.204
       2.100    4228.035    3098.102   -4310.972      -1.150      -0.602       1.182     766.859     802.141    -787.888      68.288     115.367     -75.216
       2.200    4228.093    3098.681   -4310.476      -1.194      -0.630       1.232     795.897     840.338    -821.092      67.661     114.840     -75.228
       2.300    4228.151    3099.259   -4309.980      -1.236      -0.659       1.280     823.892     878.535    -853.591      67.008     114.290     -75.240
       2.400    4228.209    3099.838   -4309.484      -1.276      -0.688       1.328     850.850     916.732    -885.399      66.328     113.717     -75.250
       2.500    4228.267    3100.416   -4308.988      -1.315      -0.716       1.375     876.776     954.930    -916.529      65.623     113.121     -75.259
       2.600    4228.325    3100.995   -4308.491      -1.353      -0.745       1.420     901.674     993.127    -946.996      64.893     112.504     -75.267
       2.700    4228.383    3101.573   -4307.995      -1.388      -0.773       1.465     925.550    1031.324    -976.814      64.139     111.865     -75.274
       2.800    4228.441    3102.151   -4307.499      -1.423      -0.802       1.509     948.410    1069.521   -1005.995      63.360     111.205     -75.279
       2.900    4228.499    3102.730   -4307.002      -1.455      -0.831       1.552     970.259    1107.718   -1034.552      62.558     110.524     -75.282
       3.000    4228.556    3103.308   -4306.506      -1.487      -0.859       1.594     991.104    1145.916   -1062.497      61.733     109.823     -75.283
       3.100    4228.614    3103.886   -4306.009      -1.516      -0.888       1.635    1010.951    1184.113   -1089.842      60.886     109.102     -75.283
       3.200    4228.672    3104.464   -4305.513      -1.545      -0.917       1.675    1029.806    1222.310   -1116.599      60.018     108.362     -75.280
       3.300    4228.729    3105.042   -4305.016      -1.572      -0.945       1.714    1047.677    1260.507   -1142.778      59.128     107.604     -75.274
       3.400    4228.787    3105.620   -4304.519      -1.597      -0.974       1.753    1064.570    1298.704   -1168.391      58.219     106.827     -75.266
       3.500    4228.844    3106.198   -4304.022      -1.621      -1.003       1.790    1080.495    1336.902   -1193.448      57.290     106.032     -75.256
       3.600    4228.902    3106.776   -4303.526      -1.643      -1.031       1.827    1095.457    1375.099   -1217.960      56.342     105.221     -75.242
       3.700    4228.959    3107.354   -4303.029      -1.664      -1.060       1.863    1109.466    1413.296   -1241.935      55.377     104.393     -75.225
       3.800    4229.016    3107.932   -4302.532      -1.684      -1.089       1.898    1122.530    1451.493   -1265.384      54.394     103.550     -75.205
       3.900    4229.074    3108.510   -4302.035      -1.702      -1.117       1.932    1134.659    1489.690   -1288.315      53.396     102.692     -75.182
       4.000    4229.131    3109.088   -4301.538      -1.719      -1.146       1.966    1145.861    1527.887   -1310.737      52.381     101.819     -75.155
       4.100    4229.188    3109.665   -4301.041      -1.734      -1.175       1.999    1156.146    1566.085   -1332.660      51.353     100.933     -75.124
       4.200    4229.245    3110.243   -4300.544      -1.748      -1.203       2.031    1165.524    1604.282   -1354.090      50.311     100.035     -75.089
       4.300    4229.302    3110.821   -4300.046      -1.761      -1.232       2.063    1174.006    1642.479   -1375.037      49.256      99.125     -75.050
       4.400    4229.359    3111.399   -4299.549      -1.772      -1.261       2.093    1181.602    1680.676   -1395.507      48.190      98.204     -75.007
       4.500    4229.416    3111.976   -4299.052      -1.782      -1.289       2.123    1188.324    1718.873   -1415.509      47.113      97.273     -74.960
       4.600    4229.473    3112.554   -4298.554      -1.791      -1.318       2.153    1194.184    1757.071   -1435.048      46.027      96.332     -74.908
       4.700    4229.530    3113.131   -4298.057      -1.799      -1.346       2.181    1199.194    1795.268   -1454.133      44.932      95.383     -74.851
       4.800    4229.587    3113.709   -4297.560      -1.805      -1.375       2.209    1203.366    1833.465   -1472.770      43.829      94.427     -74.790
       4.900    4229.643    3114.286   -4297.062      -1.810      -1.404       2.236    1206.713    1871.662   -1490.966      42.720      93.464     -74.724
       5.000    4229.700    3114.864   -4296.564      -1.814      -1.432       2.263    1209.248    1909.859   -1508.726      41.605      92.496     -74.653
       5.100    4229.757    3115.441   -4296.067      -1.816      -1.461       2.289    1210.986    1948.057   -1526.057      40.486      91.523     -74.576
       5.200    4229.813    3116.018   -4295.569      -1.818      -1.490       2.314    1211.940    1986.254   -1542.964      39.363      90.546     -74.495
       5.300    4229.870    3116.596   -4295.071      -1.818      -1.518       2.339    1212.126    2024.451   -1559.454      38.238      89.567     -74.408
       5.400    4229.926    3117.173   -4294.574      -1.817      -1.547       2.363    1211.557    2062.399   -1575.531      37.111      88.585     -74.316
       5.500    4229.983    3117.750   -4294.076      -1.815      -1.574       2.387    1210.249    2099.285   -1591.201      35.984      87.603     -74.219
       5.600    4230.039    3118.327   -4293.578      -1.812      -1.601       2.410    1208.218    2135.120   -1606.469      34.858      86.621     -74.116
       5.700    4230.095    3118.905   -4293.080      -1.808      -1.627       2.432    1205.480    2169.914   -1621.341      33.734      85.640     -74.007
       5.800    4230.152    3119.482   -4292.582      -1.803      -1.653       2.454    1202.052    2203.681   -1635.820      32.614      84.661     -73.893
       5.900    4230.208    3120.059   -4292.084      -1.797      -1.677       2.475    1197.950    2236.432   -1649.912      31.498      83.686     -73.773
       6.000    4230.264    3120.636   -4291.586      -1.790      -1.701       2.495    1193.193    2268.181   -1663.621      30.387      82.715     -73.647
       6.100    4230.320    3121.213   -4291.087      -1.782      -1.724       2.515    1187.797    2298.942   -1676.951      29.283      81.750     -73.515
       6.200    4230.376    3121.790   -4290.589      -1.773      -1.747       2.535    1181.781    2328.728   -1689.907      28.186      80.791     -73.378
       6.300    4230.432    3122.367   -4290.091      -1.763      -1.768       2.554    1175.164    2357.555   -1702.492      27.099      79.840     -73.234
       6.400    4230.488    3122.943   -4289.592      -1.752      -1.789       2.572    1167.964    2385.438   -1714.712      26.020      78.897     -73.085
       6.500    4230.544    3123.520   -4289.094      -1.740      -1.809       2.590    1160.199    2412.392   -1726.569      24.952      77.962     -72.930
       6.600    4230.600    3124.097   -4288.596      -1.728      -1.829       2.607    1151.890    2438.434   -1738.067      23.896      77.037     -72.769
       6.700    4230.655    3124.674   -4288.097      -1.715      -1.848       2.624    1143.055    2463.579   -1749.212      22.851      76.123     -72.602
       6.800    4230.711    3125.250   -4287.599      -1.701      -1.866       2.640    1133.713    2487.844   -1760.005      21.819      75.220     -72.430
       6.900    4230.767    3125.827   -4287.100      -1.686      -1.883       2.656    1123.884    2511.246   -1770.452      20.800      74.328     -72.252
       7.000    4230.822    3126.404   -4286.601      -1.670      -1.900       2.671    1113.587    2533.803   -1780.555      19.795      73.448     -72.068
       7.100    4230.878    3126.980   -4286.102      -1.654      -1.917       2.685    1102.842    2555.530   -1790.318      18.805      72.581     -71.879
       7.200    4230.933    3127.557   -4285.604      -1.638      -1.932       2.700    1091.668    2576.446   -1799.745      17.830      71.728     -71.684
       7.300    4230.989    3128.133   -4285.105      -1.620      -1.947       2.713    1080.083    2596.567   -1808.840      16.870      70.887     -71.484
       7.400    4231.044    3128.710   -4284.606      -1.602      -1.962       2.726    1068.108    2615.912   -1817.606      15.925      70.060     -71.278
       7.500    4231.100    3129.286   -4284.107      -1.584      -1.976       2.739    1055.760    2634.498   -1826.046      14.997      69.248     -71.068
       7.600    4231.155    3129.863   -4283.608      -1.565      -1.989       2.751    1043.059    2652.342   -1834.165      14.085      68.449     -70.852
       7.700    4231.210    3130.439   -4283.109      -1.545      -2.002       2.763    1030.023    2669.462   -1841.965      13.189      67.665     -70.632
       7.800    4231.265    3131.015   -4282.610      -1.525      -2.014       2.774    1016.671    2685.876   -1849.451      12.310      66.895     -70.406
       7.900    4231.320    3131.592   -4282.111      -1.505      -2.026       2.785    1003.019    2701.599   -1856.625      11.448      66.140     -70.176
       8.000    4231.375    3132.168   -4281.611      -1.484      -2.037       2.795     989.087    2716.651   -1863.492      10.603      65.400     -69.942
       8.100    4231.431    3132.744   -4281.112      -1.462      -2.048       2.805     974.890    2731.047   -1870.055       9.775      64.674     -69.703
       8.200    4231.485    3133.320   -4280.613      -1.441      -2.059       2.814     960.446    2744.804   -1876.317       8.964      63.964     -69.459
       8.300    4231.540    3133.896   -4280.113      -1.419      -2.068       2.823     945.772    2757.940   -1882.282       8.169      63.267     -69.211
       8.400    4231.595    3134.472   -4279.614      -1.396      -2.078       2.832     930.884    2770.470   -1887.954       7.392      62.585     -68.959
       8.500    4231.650    3135.048   -4279.114      -1.374      -2.087       2.840     915.798    2782.411   -1893.336       6.631      61.918     -68.704
       8.600    4231.705    3135.624   -4278.615      -1.351      -2.095       2.848     900.529    2793.779   -1898.432       5.887      61.265     -68.444
       8.700    4231.759    3136.200   -4278.115      -1.328      -2.103       2.855     885.092    2804.589   -1903.245       5.159      60.626     -68.181
       8.800    4231.814    3136.776   -4277.616      -1.304      -2.111       2.862     869.502    2814.857   -1907.779       4.448      60.001     -67.914
       8.900    4231.869    3137.352   -4277.116      -1.281      -2.118       2.868     853.773    2824.598   -1912.037       3.753      59.390     -67.643
       9.000    4231.923    3137.928   -4276.616      -1.257      -2.125       2.874     837.918    2833.826   -1916.024       3.074      58.792     -67.370
       9.100    4231.978    3138.504   -4276.116      -1.233      -2.132       2.880     821.952    2842.557   -1919.743       2.410      58.208     -67.093
       9.200    4232.032    3139.079   -4275.616      -1.209      -2.138       2.885     805.887    2850.805   -1923.196       1.763      57.636     -66.812
       9.300    4232.086    3139.655   -4275.116      -1.185      -2.144       2.890     789.735    2858.583   -1926.389       1.130      57.078     -66.529
       9.400    4232.141    3140.231   -4274.616      -1.160      -2.149       2.894     773.510    2865.905   -1929.325       0.513      56.533     -66.244
       9.500    4232.195    3140.806   -4274.116      -1.136      -2.155       2.898     757.221    2872.785   -1932.007      -0.089      55.999     -65.955
       9.600    4232.249    3141.382   -4273.616      -1.111      -2.159       2.902     740.882    2879.236   -1934.439      -0.677      55.478     -65.664
       9.700    4232.303    3141.958   -4273.116      -1.087      -2.164       2.905     724.501    2885.270   -1936.624      -1.250      54.969     -65.370
       9.800    4232.357    3142.533   -4272.616      -1.062      -2.168       2.908     708.091    2890.899   -1938.567      -1.810      54.472     -65.074
       9.900    4232.411    3143.109   -4272.116      -1.037      -2.172       2.910     691.661    2896.136   -1940.270      -2.355      53.985     -64.775
      10.000    4232.465    3143.684   -4271.615      -1.013      -2.176       2.913     675.220    2900.993   -1941.737      -2.887      53.510     -64.474
      10.100    4232.519    3144.259   -4271.115      -0.988      -2.179       2.914     658.778    2905.481   -1942.973      -3.406      53.046     -64.172
      10.200    4232.573    3144.835   -4270.615      -0.964      -2.182       2.916     642.344    2909.611   -1943.980      -3.911      52.592     -63.867
      10.300    4232.627    3145.410   -4270.114      -0.939      -2.185       2.917     625.926    2913.393   -1944.763      -4.404      52.148     -63.560
      10.400    4232.681    3145.985   -4269.614      -0.914      -2.188       2.918     609.532    2916.840   -1945.324      -4.885      51.715     -63.252
      10.500    4232.735    3146.561   -4269.113      -0.890      -2.190       2.919     593.170    2919.960   -1945.667      -5.353      51.291     -62.942
      10.600    4232.788    3147.136   -4268.612      -0.865      -2.192       2.919     576.848    2922.765   -1945.797      -5.810      50.877     -62.630
      10.700    4232.842    3147.711   -4268.112      -0.841      -2.194       2.919     560.573    2925.263   -1945.715      -6.254      50.471     -62.317
      10.800    4232.895    3148.286   -4267.611      -0.817      -2.196       2.918     544.351    2927.464   -1945.427      -6.688      50.075     -62.002
      10.900    4232.949    3148.861   -4267.110      -0.792      -2.197       2.917     528.189    2929.377   -1944.935      -7.110      49.688     -61.686
      11.000    4233.002    3149.436   -4266.609      -0.768      -2.198       2.916     512.093    2931.012   -1944.243      -7.521      49.309     -61.369
      11.100    4233.056    3150.011   -4266.108      -0.744      -2.199       2.915     496.069    2932.376   -1943.354      -7.922      48.938     -61.050
      11.200    4233.109    3150.586   -4265.607      -0.720      -2.200       2.913     480.123    2933.478   -1942.273      -8.312      48.576     -60.731
      11.300    4233.162    3151.161   -4265.106      -0.696      -2.201       2.912     464.259    2934.327   -1941.001      -8.692      48.221     -60.410
      11.400    4233.216    3151.736   -4264.605      -0.673      -2.201       2.909     448.482    2934.930   -1939.543      -9.062      47.873     -60.089
      11.500    4233.269    3152.311   -4264.104      -0.649      -2.201       2.907     432.798    2935.295   -1937.902      -9.423      47.533     -59.766
      11.600    4233.322    3152.885   -4263.603      -0.626      -2.202       2.904     417.211    2935.430   -1936.081      -9.774      47.200     -59.443
      11.700    4233.375    3153.460   -4263.102      -0.603      -2.202       2.901     401.725    2935.341   -1934.084     -10.116      46.874     -59.119
      11.800    4233.428    3154.035   -4262.600      -0.580      -2.201       2.898     386.344    2935.035   -1931.914     -10.449      46.555     -58.795
      11.900    4233.481    3154.609   -4262.099      -0.557      -2.201       2.894     371.072    2934.520   -1929.575     -10.773      46.242     -58.469
      12.000    4233.534    3155.184   -4261.598      -0.534      -2.200       2.891     355.912    2933.802   -1927.068     -11.089      45.935     -58.144
      12.100    4233.587    3155.759   -4261.096      -0.511      -2.200       2.887     340.867    2932.887   -1924.399     -11.396      45.635     -57.817
      12.200    4233.639    3156.333   -4260.595      -0.489      -2.199       2.882     325.941    2931.782   -1921.569     -11.695      45.340     -57.491
      12.300    4233.692    3156.908   -4260.093      -0.467      -2.198       2.878     311.137    2930.492   -1918.583     -11.986      45.052     -57.164
      12.400    4233.745    3157.482   -4259.591      -0.445      -2.197       2.873     296.456    2929.024   -1915.442     -12.269      44.768     -56.836
      12.500    4233.798    3158.057   -4259.090      -0.423      -2.196       2.868     281.903    2927.382   -1912.151     -12.545      44.490     -56.509
      12.600    4233.850    3158.631   -4258.588      -0.401      -2.194       2.863     267.479    2925.573   -1908.712     -12.814      44.218     -56.181
      12.700    4233.903    3159.205   -4258.086      -0.380      -2.193       2.858     253.186    2923.602   -1905.129     -13.075      43.950     -55.853
      12.800    4233.955    3159.780   -4257.584      -0.359      -2.191       2.852     239.026    2921.473   -1901.404     -13.329      43.688     -55.525
      12.900    4234.008    3160.354   -4257.082      -0.338      -2.189       2.846     225.001    2919.193   -1897.540     -13.576      43.430     -55.197
      13.000    4234.060    3160.928   -4256.580      -0.317      -2.188       2.840     211.113    2916.764   -1893.541     -13.816      43.176     -54.868
      13.100    4234.112    3161.502   -4256.078      -0.296      -2.186       2.834     197.363    2914.193   -1889.409     -14.050      42.928     -54.540
      13.200    4234.164    3162.076   -4255.576      -0.276      -2.184       2.828     183.752    2911.484   -1885.147     -14.278      42.683     -54.212
      13.300    4234.217    3162.651   -4255.074      -0.255      -2.181       2.821     170.283    2908.641   -1880.757     -14.499      42.443     -53.884
      13.400    4234.269    3163.225   -4254.572      -0.235      -2.179       2.814     156.956    2905.668   -1876.244     -14.715      42.206     -53.557
      13.500    4234.321    3163.799   -4254.070      -0.216      -2.177       2.807     143.772    2902.570   -1871.609     -14.924      41.974     -53.229
      13.600    4234.373    3164.373   -4253.568      -0.196      -2.175       2.800     130.731    2899.350   -1866.856     -15.127      41.746     -52.902
      13.700    4234.425    3164.947   -4253.065      -0.177      -2.172       2.793     117.836    2896.013   -1861.986     -15.325      41.521     -52.575
      13.800    4234.477    3165.520   -4252.563      -0.158      -2.169       2.786     105.086    2892.561   -1857.003     -15.517      41.300     -52.248
      13.900    4234.529    3166.094   -4252.060      -0.139      -2.167       2.778      92.481    2888.999   -1851.910     -15.704      41.082     -51.922
      14.000    4234.581    3166.668   -4251.558      -0.120      -2.164       2.770      80.023    2885.330   -1846.708     -15.886      40.867     -51.596
      14.100    4234.632    3167.242   -4251.055      -0.102      -2.161       2.762      67.712    2881.558   -1841.401     -16.062      40.656     -51.270
      14.200    4234.684    3167.816   -4250.553      -0.083      -2.158       2.754      55.549    2877.685   -1835.991     -16.234      40.448     -50.945
      14.300    4234.736    3168.389   -4250.050      -0.065      -2.155       2.746      43.532    2873.715   -1830.480     -16.400      40.243     -50.620
      14.400    4234.787    3168.963   -4249.547      -0.047      -2.152       2.737      31.663    2869.652   -1824.872     -16.562      40.041     -50.296
      14.500    4234.839    3169.537   -4249.045      -0.030      -2.149       2.729      19.941    2865.497   -1819.168     -16.719      39.842     -49.973
      14.600    4234.890    3170.110   -4248.542      -0.013      -2.146       2.720       8.366    2861.254   -1813.371     -16.871      39.645     -49.650
      14.700    4234.942    3170.684   -4248.039       0.005      -2.143       2.711      -3.061    2856.926   -1807.483     -17.019      39.452     -49.327
      14.800    4234.993    3171.257   -4247.536       0.022      -2.139       2.702     -14.341    2852.515   -1801.507     -17.163      39.261     -49.005
      14.900    4235.045    3171.831   -4247.033       0.038      -2.136       2.693     -25.475    2848.024   -1795.445     -17.302      39.072     -48.684
      15.000    4235.096    3172.404   -4246.530       0.055      -2.133       2.684     -36.462    2843.456   -1789.299     -17.437      38.886     -48.364
      15.100    4235.147    3172.978   -4246.027       0.071      -2.129       2.675     -47.302    2838.812   -1783.071     -17.568      38.702     -48.044
      15.200    4235.198    3173.551   -4245.524       0.087      -2.126       2.665     -57.997    2834.096   -1776.764     -17.695      38.520     -47.725
      15.300    4235.249    3174.124   -4245.020       0.103      -2.122       2.656     -68.547    2829.310   -1770.380     -17.818      38.341     -47.407
      15.400    4235.300    3174.697   -4244.517       0.118      -2.118       2.646     -78.952    2824.456   -1763.922     -17.937      38.164     -47.089
      15.500    4235.351    3175.271   -4244.014       0.134      -2.115       2.636     -89.212    2819.535   -1757.390     -18.053      37.989     -46.772
      15.600    4235.402    3175.844   -4243.511       0.149      -2.111       2.626     -99.329    2814.551   -1750.788     -18.165      37.815     -46.456
      15.700    4235.453    3176.417   -4243.007       0.164      -2.107       2.616    -109.304    2809.505   -1744.117     -18.273      37.644     -46.141
      15.800    4235.504    3176.990   -4242.504       0.179      -2.103       2.606    -119.135    2804.399   -1737.379     -18.378      37.475     -45.827
      15.900    4235.555    3177.563   -4242.000       0.193      -2.099       2.596    -128.826    2799.235   -1730.577     -18.479      37.307     -45.514
      16.000    4235.606    3178.136   -4241.497       0.208      -2.096       2.586    -138.376    2794.014   -1723.712     -18.577      37.142     -45.201
      16.100    4235.656    3178.709   -4240.993       0.222      -2.092       2.575    -147.785    2788.740   -1716.786     -18.672      36.978     -44.890
      16.200    4235.707    3179.282   -4240.489       0.236      -2.088       2.565    -157.056    2783.413   -1709.801     -18.764      36.815     -44.579
      16.300    4235.758    3179.855   -4239.985       0.249      -2.084       2.554    -166.188    2778.035   -1702.760     -18.852      36.655     -44.269
      16.400    4235.808    3180.428   -4239.482       0.263      -2.079       2.543    -175.183    2772.607   -1695.663     -18.937      36.495     -43.960
      16.500    4235.859    3181.001   -4238.978       0.276      -2.075       2.533    -184.042    2767.132   -1688.514     -19.020      36.338     -43.653
      16.600    4235.909    3181.573   -4238.474       0.289      -2.071       2.522    -192.765    2761.610   -1681.312     -19.099      36.182     -43.346
      16.700    4235.959    3182.146   -4237.970       0.302      -2.067       2.511    -201.353    2756.044   -1674.062     -19.176      36.027     -43.040
      16.800    4236.010    3182.719   -4237.466       0.315      -2.063       2.500    -209.808    2750.434   -1666.763     -19.250      35.873     -42.735
      16.900    4236.060    3183.291   -4236.962       0.327      -2.059       2.489    -218.131    2744.783   -1659.418     -19.321      35.721     -42.432
      17.000    4236.110    3183.864   -4236.458       0.339      -2.054       2.478    -226.321    2739.090   -1652.028     -19.389      35.570     -42.129
      17.100    4236.160    3184.437   -4235.954       0.352      -2.050       2.467    -234.381    2733.359   -1644.595     -19.455      35.421     -41.827
      17.200    4236.211    3185.009   -4235.449       0.363      -2.046       2.456    -242.312    2727.589   -1637.121     -19.518      35.272     -41.527
      17.300    4236.261    3185.582   -4234.945       0.375      -2.041       2.444    -250.114    2721.782   -1629.608     -19.578      35.125     -41.227
      17.400    4236.311    3186.154   -4234.441       0.387      -2.037       2.433    -257.789    2715.939   -1622.056     -19.637      34.979     -40.929
      17.500    4236.360    3186.726   -4233.936       0.398      -2.033       2.422    -265.338    2710.062   -1614.468     -19.692      34.834     -40.632
      17.600    4236.410    3187.299   -4233.432       0.409      -2.028       2.410    -272.761    2704.152   -1606.845     -19.746      34.690     -40.336
      17.700    4236.460    3187.871   -4232.927       0.420      -2.024       2.399    -280.060    2698.209   -1599.188     -19.796      34.547     -40.041
      17.800    4236.510    3188.443   -4232.423       0.431      -2.019       2.387    -287.237    2692.234   -1591.499     -19.845      34.405     -39.747
      17.900    4236.560    3189.016   -4231.918       0.441      -2.015       2.376    -294.291    2686.229   -1583.780     -19.892      34.264     -39.454
      18.000    4236.609    3189.588   -4231.413       0.452      -2.010       2.364    -301.225    2680.195   -1576.031     -19.936      34.124     -39.162
      18.100    4236.659    3190.160   -4230.909       0.462      -2.006       2.352    -308.039    2674.132   -1568.255     -19.978      33.984     -38.872
      18.200    4236.709    3190.732   -4230.404       0.472      -2.001       2.341    -314.735    2668.041   -1560.452     -20.018      33.846     -38.583
      18.300    4236.758    3191.304   -4229.899       0.482      -1.996       2.329    -321.314    2661.924   -1552.624     -20.056      33.709     -38.295
      18.400    4236.808    3191.876   -4229.394       0.492      -1.992       2.317    -327.776    2655.780   -1544.772     -20.092      33.572     -38.008
      18.500    4236.857    3192.448   -4228.889       0.501      -1.987       2.305    -334.123    2649.612   -1536.898     -20.126      33.436     -37.722
      18.600    4236.906    3193.020   -4228.384       0.511      -1.983       2.294    -340.357    2643.420   -1529.003     -20.158      33.301     -37.438
      18.700    4236.956    3193.592   -4227.879       0.520      -1.978       2.282    -346.477    2637.204   -1521.088     -20.188      33.167     -37.155
      18.800    4237.005    3194.164   -4227.374       0.529      -1.973       2.270    -352.487    2630.965   -1513.154     -20.216      33.033     -36.873
      18.900    4237.054    3194.736   -4226.869       0.538      -1.969       2.258    -358.385    2624.704   -1505.203     -20.242      32.900     -36.592
      19.000    4237.103    3195.308   -4226.364       0.546      -1.964       2.246    -364.175    2618.422   -1497.236     -20.267      32.768     -36.312
      19.100    4237.152    3195.879   -4225.859       0.555      -1.959       2.234    -369.856    2612.119   -1489.253     -20.290      32.636     -36.034
      19.200    4237.201    3196.451   -4225.353       0.563      -1.954       2.222    -375.431    2605.796   -1481.257     -20.311      32.505     -35.757
      19.300    4237.250    3197.023   -4224.848       0.571      -1.950       2.210    -380.900    2599.453   -1473.248     -20.330      32.375     -35.481
      19.400    4237.299    3197.594   -4224.342       0.579      -1.945       2.198    -386.264    2593.092   -1465.227     -20.348      32.245     -35.206
      19.500    4237.348    3198.166   -4223.837       0.587      -1.940       2.186    -391.524    2586.713   -1457.196     -20.364      32.116     -34.933
      19.600    4237.397    3198.737   -4223.331       0.595      -1.935       2.174    -396.682    2580.316   -1449.155     -20.378      31.987     -34.661
      19.700    4237.445    3199.309   -4222.826       0.603      -1.930       2.162    -401.739    2573.903   -1441.105     -20.391      31.859     -34.390
      19.800    4237.494    3199.880   -4222.320       0.610      -1.926       2.150    -406.696    2567.472   -1433.049     -20.402      31.731     -34.121
      19.900    4237.543    3200.452   -4221.814       0.617      -1.921       2.137    -411.553    2561.026   -1424.985     -20.412      31.604     -33.853
      20.000    4237.591    3201.023   -4221.309       0.624      -1.916       2.125    -416.313    2554.564   -1416.917     -20.421      31.477     -33.586
      20.100    4237.640    3201.595   -4220.803       0.631      -1.911       2.113    -420.976    2548.087   -1408.843     -20.427      31.351     -33.320
      20.200    4237.688    3202.166   -4220.297       0.638      -1.906       2.101    -425.543    2541.596   -1400.767     -20.433      31.225     -33.056
      20.300    4237.737    3202.737   -4219.791       0.645      -1.901       2.089    -430.016    2535.091   -1392.688     -20.437      31.100     -32.793
      20.400    4237.785    3203.308   -4219.285       0.652      -1.896       2.077    -434.395    2528.572   -1384.607     -20.440      30.975     -32.531
      20.500    4237.834    3203.880   -4218.779       0.658      -1.892       2.065    -438.682    2522.040   -1376.525     -20.441      30.851     -32.271
      20.600    4237.882    3204.451   -4218.273       0.664      -1.887       2.053    -442.878    2515.495   -1368.444     -20.441      30.727     -32.012
      20.700    4237.930    3205.022   -4217.767       0.670      -1.882       2.041    -446.983    2508.938   -1360.363     -20.440      30.603     -31.754
      20.800    4237.978    3205.593   -4217.261       0.676      -1.877       2.028    -451.000    2502.369   -1352.285     -20.437      30.480     -31.497
      20.900    4238.026    3206.164   -4216.755       0.682      -1.872       2.016    -454.928    2495.788   -1344.209     -20.433      30.357     -31.242
      21.000    4238.074    3206.735   -4216.248       0.688      -1.867       2.004    -458.769    2489.196   -1336.136     -20.428      30.234     -30.988
      21.100    4238.122    3207.306   -4215.742       0.694      -1.862       1.992    -462.524    2482.594   -1328.068     -20.422      30.112     -30.736
      21.200    4238.170    3207.877   -4215.236       0.699      -1.857       1.980    -466.195    2475.981   -1320.005     -20.414      29.990     -30.485
      21.300    4238.218    3208.448   -4214.729       0.705      -1.852       1.968    -469.781    2469.357   -1311.948     -20.406      29.869     -30.235
      21.400    4238.266    3209.018   -4214.223       0.710      -1.847       1.956    -473.285    2462.724   -1303.898     -20.396      29.747     -29.986
      21.500    4238.314    3209.589   -4213.716       0.715      -1.842       1.944    -476.706    2456.081   -1295.855     -20.385      29.626     -29.739
      21.600    4238.361    3210.160   -4213.209       0.720      -1.837       1.932    -480.047    2449.429   -1287.820     -20.373      29.506     -29.493
      21.700    4238.409    3210.731   -4212.703       0.725      -1.832       1.920    -483.308    2442.768   -1279.794     -20.360      29.385     -29.248
      21.800    4238.457    3211.301   -4212.196       0.730      -1.827       1.908    -486.490    2436.099   -1271.777     -20.346      29.265     -29.005
